AccessibilityDye                     prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts 
GradientStepResult                   prod=7    tests=0    other=1   | prod: packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/index.ts | other: docs/research/monorepo-2.0/3-3-gradient-mixer-port-spec.md 
HARMONY_TYPES                        prod=4    tests=12   other=4   | prod: packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/index.ts | other: docs/historical/20251211-v3UIRehaul/03-TOOL-MOCKUPS.md docs/historical/web-app/20251116-Phase12/PHASE_12_CHECKLIST.md docs/historical/web-app/20251117-v2.0.0/20251119-TODO.md docs/historical/web-app/20260531-Mockups/tools/HarmonyMockup.ts 
HarmonyInput                         prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
HarmonyResult                        prod=3    tests=0    other=4   | prod: packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/index.ts | other: docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/projects/core/services.md docs/projects/core/types.md docs/research/discord-alternatives/06d-bot-logic.md 
HarmonyType                          prod=5    tests=3    other=17  | prod: packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/harmony.ts apps/og-worker/CLAUDE.md apps/og-worker/src/index.ts apps/og-worker/src/og-params.ts apps/og-worker/src/services/svg/harmony.ts 
HROTHGAR_HELIONS                     prod=1    tests=2    other=0   | prod: packages/bot-logic/src/commands/__fixtures__/chara-fixtures.ts | other: 
initializeLocale                     prod=22   tests=17   other=30  | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts packages/bot-logic/src/localization.ts | other: apps/discord-worker/scripts/register-commands.ts apps/discord-worker/src/commands/localize.test.ts apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/commands/accessibility.test.ts apps/discord-worker/src/handlers/commands/accessibility.ts 
InterpolationMode                    prod=4    tests=7    other=6   | prod: packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/gradient.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/services/share-service.ts apps/web-app/src/shared/tool-config-types.ts docs/projects/web-app/tools.md 
isModeratorId                        prod=2    tests=7    other=2   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/moderators.ts | other: apps/discord-worker/src/services/preset-api.ts docs/historical/20251214-CodeAudit/05-PRESETS-API.md 
isValidDiscordSnowflake              prod=5    tests=8    other=1   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/moderators.ts | other: apps/moderation-worker/src/services/preset-api.ts 
isValidHex                           prod=8    tests=20   other=2   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/web-app/src/components/v4/dye-palette-drawer.ts docs/research/discord-alternatives/06d-bot-logic.md 
LocaleCode                           prod=41   tests=3    other=81  | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/i18n/index.ts packages/bot-logic/src/i18n/translator.ts packages/bot-logic/src/i18n/types.ts packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts packages/bot-logic/src/localization.ts | other: DEPRECATIONS.md apps/api-worker/src/lib/dye-serializer.ts apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts 
LocaleData                           prod=6    tests=1    other=14  | prod: packages/bot-logic/src/i18n/index.ts packages/bot-logic/src/i18n/translator.ts packages/bot-logic/src/i18n/types.ts | other: apps/moderation-worker/src/services/bot-i18n.ts docs/research/discord-alternatives/06c-bot-i18n.md docs/versions.md packages/core/src/services/__tests__/LocalizationService.explicit-locale.test.ts packages/core/src/services/__tests__/LocalizationService.test.ts 
MIXER_SWEEP_RATIOS                   prod=2    tests=0    other=1   | prod: packages/bot-logic/src/commands/mixer.ts | other: docs/research/monorepo-2.0/3-3-gradient-mixer-port-spec.md 
MixerInput                           prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
MixerResult                          prod=3    tests=0    other=2   | prod: packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md docs/research/monorepo-2.0/3-3-gradient-mixer-port-spec.md 
MixerSweepStop                       prod=3    tests=0    other=0   | prod: packages/bot-logic/src/commands/mixer.ts | other: 
normalizeHex                         prod=8    tests=11   other=9   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/web-app/src/services/share-service.ts apps/web-app/src/shared/palette-export.ts docs/research/discord-alternatives/06d-bot-logic.md packages/core/CLAUDE.md packages/core/src/services/ColorService.ts 
parseDyeIdInput                      prod=4    tests=0    other=0   | prod: packages/bot-logic/src/input-resolution.ts | other: 
parseModeratorIds                    prod=3    tests=9    other=2   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/moderators.ts | other: apps/moderation-worker/src/services/preset-api.ts docs/versions.md 
RandomInput                          prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
