abbreviateDyeName                    prod=6    tests=12   other=5   | prod: packages/core/src/index.ts packages/core/src/utils/index.ts | other: apps/discord-worker/src/handlers/commands/comparison.test.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/svg/CLAUDE.md packages/svg/README.md 
classifyBandTierWithCuts             prod=4    tests=3    other=0   | prod: packages/core/src/config/band-vocabulary.ts packages/core/src/index.ts | other: 
COLOR_DISTANCE_MAX                   prod=7    tests=2    other=0   | prod: packages/core/src/config/band-vocabulary.ts packages/core/src/constants/index.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/dye/DyeSearch.ts | other: 
ColorAccessibility                   prod=12   tests=53   other=6   | prod: packages/core/src/config/band-calibration.ts packages/core/src/services/color/ColorAccessibility.ts packages/core/src/services/ColorService.ts | other: docs/architecture/dependency-graph.md docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/historical/web-app/20251123-Optimization/PHASE3_COMPLETION.md docs/historical/web-app/20251123-Optimization/RELEASE_NOTES.md docs/historical/web-app/20251123-Optimization/TODO.md 
ColorblindnessSimulator              prod=13   tests=93   other=7   | prod: packages/core/src/config/band-calibration.ts packages/core/src/constants/index.ts packages/core/src/services/color/ColorblindnessSimulator.ts packages/core/src/services/ColorService.ts | other: docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/historical/web-app/20251123-Optimization/PHASE3_COMPLETION.md docs/historical/web-app/20251123-Optimization/RELEASE_NOTES.md docs/historical/web-app/20251123-Optimization/TODO.md 
ColorConverter                       prod=143  tests=160  other=27  | prod: packages/core/src/config/band-calibration.ts packages/core/src/index.ts packages/core/src/services/chara/chara-resolver.ts packages/core/src/services/CharacterColorService.ts packages/core/src/services/color/ColorAccessibility.ts packages/core/src/services/color/ColorblindnessSimulator.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/color/ColorManipulator.ts packages/core/src/services/color/RybColorMixer.ts packages/core/src/services/color/SpectralMixer.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/DyeDatabase.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: DEPRECATIONS.md apps/web-app/scripts/check-bundle-size.js apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/services/__tests__/harmony-generator.test.ts 
ColorConverterConfig                 prod=2    tests=0    other=0   | prod: packages/core/src/services/color/ColorConverter.ts | other: 
ColorManipulator                     prod=11   tests=65   other=6   | prod: packages/core/src/services/color/ColorManipulator.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: docs/architecture/dependency-graph.md docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/historical/web-app/20251123-Optimization/PHASE3_COMPLETION.md docs/historical/web-app/20251123-Optimization/RELEASE_NOTES.md docs/historical/web-app/20251123-Optimization/TODO.md 
ColorService                         prod=14   tests=186  other=120 | prod: packages/core/src/blending/conversions.ts packages/core/src/index.ts packages/core/src/services/ColorService.ts packages/core/src/services/PaletteService.ts | other: DEPRECATIONS.md apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/lib/services.ts apps/discord-worker/src/handlers/commands/accessibility.test.ts 
CONSOLIDATED_DYES                    prod=6    tests=23   other=10  | prod: packages/core/src/config/consolidated-ids.ts packages/core/src/index.ts packages/core/src/services/localization/TranslationProvider.ts | other: apps/discord-worker/scripts/subset-cjk-fonts.py apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/font-coverage.test.ts apps/web-app/src/components/budget-tool.ts 
CONSOLIDATED_IDS                     prod=12   tests=33   other=8   | prod: packages/core/src/config/consolidated-ids.ts packages/core/src/index.ts packages/core/src/services/localization/TranslationProvider.ts | other: apps/api-worker/src/routes/dyes.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/budget-ledger-model.test.ts apps/discord-worker/src/services/budget/consolidation-fanout.test.ts apps/web-app/src/services/__tests__/market-board-service.test.ts 
ConsolidatedDye                      prod=3    tests=0    other=0   | prod: packages/core/src/config/consolidated-ids.ts packages/core/src/index.ts | other: 
ConsolidationType                    prod=8    tests=0    other=3   | prod: packages/core/src/config/consolidated-ids.ts packages/core/src/index.ts packages/core/src/services/localization/TranslationProvider.ts | other: apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/types/budget.ts apps/web-app/src/components/budget-tool.ts 
CRAFT_ACQUISITIONS                   prod=3    tests=6    other=3   | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeFilter.ts | other: apps/api-worker/src/lib/validation.ts apps/api-worker/tests/routes/dyes.test.ts docs/versions.md 
DE2000_GROUND_TRUTH                  prod=7    tests=2    other=0   | prod: packages/core/src/config/band-calibration.ts | other: 
default                              prod=120  tests=50   other=562 | prod: packages/core/src/blending/blending.ts packages/core/src/blending/types.ts packages/core/src/config/band-vocabulary.ts packages/core/src/index.ts packages/core/src/services/APIService.ts packages/core/src/services/chara/chara-parser.ts packages/core/src/services/CharacterColorService.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/color/SpectralMixer.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/DyeDatabase.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/dye/HarmonyGenerator.ts packages/core/src/services/DyeService.ts packages/core/src/services/LocalizationService.ts packages/core/src/services/PaletteService.ts packages/core/src/types/index.ts packages/core/src/utils/index.ts | other: .github/workflows/ci.yml .github/workflows/deploy-api-worker.yml .github/workflows/deploy-discord-worker-beta.yml .github/workflows/deploy-discord-worker.yml .github/workflows/deploy-image-worker.yml 
DEFAULT_MATCHING_METHOD              prod=6    tests=4    other=13  | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/PaletteService.ts packages/core/src/types/index.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/lib/validation.ts apps/discord-worker/src/services/preferences.test.ts apps/og-worker/CLAUDE.md apps/og-worker/src/index.ts 
DefaultFetchClient                   prod=2    tests=7    other=0   | prod: packages/core/src/services/APIService.ts | other: 
DefaultRateLimiter                   prod=2    tests=9    other=1   | prod: packages/core/src/services/APIService.ts | other: docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md 
DeltaEFormula                        prod=16   tests=0    other=2   | prod: packages/core/src/index.ts packages/core/src/services/CharacterColorService.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: docs/research/color-matching/COLOR_MATCHING_ALGORITHMS.md docs/research/color-matching/IMPLEMENTATION_GUIDE.md 
deriveDistinguishCuts                prod=5    tests=2    other=0   | prod: packages/core/src/config/band-vocabulary.ts packages/core/src/index.ts | other: 
DYE_ACQUISITIONS                     prod=3    tests=2    other=2   | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/index.ts | other: DEPRECATIONS.md docs/maintainer/adding-dyes.md 
DYE_CATEGORIES                       prod=3    tests=2    other=6   | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/index.ts | other: DEPRECATIONS.md apps/web-app/src/components/v4/dye-palette-drawer.ts docs/historical/web-app/20251122-DiscordBot/API_REFERENCE.md docs/historical/web-app/20251122-DiscordBot/MIGRATION_GUIDE.md docs/historical/web-app/20251122-DiscordBot/PACKAGE_GUIDE.md 
DyeAcquisition                       prod=5    tests=3    other=0   | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/index.ts packages/core/src/services/dye/DyeDatabase.ts | other: 
