A11yCardLabels                       prod=3    tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: 
generateHarmonyCard                  prod=2    tests=11   other=4   | prod: packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/harmony.test.ts docs/projects/discord-worker/rendering.md packages/bot-logic/src/commands/harmony.ts 
generateMixerCard                    prod=2    tests=4    other=2   | prod: packages/svg/src/index.ts packages/svg/src/mixer-card.ts | other: docs/projects/discord-worker/rendering.md packages/bot-logic/src/commands/mixer.ts 
generateNearestSheet                 prod=2    tests=15   other=7   | prod: packages/svg/src/index.ts packages/svg/src/nearest-sheet.ts | other: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/extractor.test.ts apps/discord-worker/src/handlers/commands/extractor.ts docs/projects/discord-worker/rendering.md docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md 
generatePaletteGrid                  prod=2    tests=15   other=5   | prod: packages/svg/src/index.ts packages/svg/src/palette-grid.ts | other: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/extractor.ts docs/projects/discord-worker/rendering.md docs/research/discord-alternatives/02c-stoat-infrastructure.md docs/research/discord-alternatives/06b-svg.md 
generatePresetSwatch                 prod=3    tests=21   other=4   | prod: packages/svg/src/index.ts packages/svg/src/preset-swatch.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts docs/projects/discord-worker/rendering.md docs/research/discord-alternatives/06b-svg.md 
generateRandomDyesGrid               prod=2    tests=25   other=3   | prod: packages/svg/src/index.ts packages/svg/src/random-dyes-grid.ts | other: docs/projects/discord-worker/rendering.md docs/research/discord-alternatives/06b-svg.md packages/bot-logic/src/commands/dye-info.ts 
generateSwatchCard                   prod=2    tests=19   other=4   | prod: packages/svg/src/index.ts packages/svg/src/swatch-card.ts | other: DEPRECATIONS.md docs/projects/discord-worker/rendering.md docs/versions.md packages/bot-logic/src/commands/swatch.ts 
getContrastTextColor                 prod=2    tests=8    other=3   | prod: packages/svg/src/base.ts packages/svg/src/index.ts | other: apps/og-worker/src/services/svg/band.ts docs/research/discord-alternatives/06b-svg.md docs/research/monorepo-2.0/4-og-15e-band-port-spec.md 
getLuminance                         prod=5    tests=5    other=1   | prod: packages/svg/src/base.ts packages/svg/src/frame.ts packages/svg/src/index.ts | other: docs/research/discord-alternatives/06b-svg.md 
GLYPH_ACCENT_DARK                    prod=3    tests=6    other=4   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/CLAUDE.md apps/web-app/src/components/budget-tool.ts apps/web-app/src/shared/glyph-accent.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
GLYPH_ACCENT_LIGHT                   prod=5    tests=0    other=4   | prod: packages/svg/src/frame.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/services/svg/band.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/services/theme-service.ts 
GLYPH_SETS                           prod=1    tests=14   other=2   | prod: packages/svg/src/icons/tool-icons.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md 
GlyphRenderOptions                   prod=8    tests=0    other=1   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/src/shared/state-icons.ts 
GradientCardOptions                  prod=3    tests=2    other=0   | prod: packages/svg/src/gradient.ts packages/svg/src/index.ts | other: 
GradientRowEntry                     prod=3    tests=0    other=1   | prod: packages/svg/src/gradient.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/gradient.ts 
GradientStripCell                    prod=3    tests=0    other=1   | prod: packages/svg/src/gradient.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/gradient.ts 
group                                prod=6    tests=9    other=121 | prod: packages/svg/src/base.ts packages/svg/src/budget-ledger.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: .github/workflows/ci.yml .github/workflows/deploy-api-worker.yml .github/workflows/deploy-discord-worker-beta.yml .github/workflows/deploy-discord-worker.yml .github/workflows/deploy-image-worker.yml 
grp                                  prod=3    tests=17   other=4   | prod: packages/svg/src/base.ts packages/svg/src/index.ts | other: apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/stats.ts docs/research/monorepo-2.0/3-1-bot-frame-system-port-spec.md packages/bot-logic/src/commands/dye-info.ts 
hairline                             prod=28   tests=0    other=6   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: apps/discord-worker/scripts/upload-emojis.ts apps/discord-worker/src/services/emoji.ts apps/og-worker/src/services/svg/band.ts apps/web-app/src/components/v4/v4-app-header.ts docs/research/monorepo-2.0/2-6g-result-card-empty-states-port-spec.md 
HARMONY_ROW_CAP                      prod=6    tests=0    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: 
HarmonyCardLabels                    prod=3    tests=0    other=0   | prod: packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: 
HarmonyCardOptions                   prod=3    tests=0    other=0   | prod: packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: 
HarmonyCardSlot                      prod=3    tests=0    other=1   | prod: packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/harmony.ts 
harmonyGlyph                         prod=2    tests=3    other=2   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/CLAUDE.md apps/web-app/src/shared/harmony-icons.ts 
HarmonyGlyphName                     prod=5    tests=0    other=1   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/src/shared/harmony-icons.ts 
