_resetPatternsForTesting             prod=1    tests=12   other=0   | prod: apps/presets-api/src/services/moderation-service.ts | other: 
invalidJsonResponse                  prod=8    tests=3    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/utils/api-response.ts | other: 
isPreviewImageUpload                 prod=7    tests=0    other=0   | prod: apps/presets-api/src/index.ts apps/presets-api/src/middleware/body-validation.ts | other: 
jaProfanity                          prod=3    tests=5    other=0   | prod: apps/presets-api/src/data/profanity/index.ts apps/presets-api/src/data/profanity/ja.ts | other: 
jsonDepthLimit                       prod=3    tests=3    other=6   | prod: apps/presets-api/src/index.ts apps/presets-api/src/middleware/body-validation.ts | other: apps/oauth/CLAUDE.md apps/oauth/src/__tests__/body-validation.test.ts apps/oauth/src/index.ts apps/oauth/src/middleware/body-validation.ts docs/architecture/overview.md 
koProfanity                          prod=3    tests=5    other=0   | prod: apps/presets-api/src/data/profanity/index.ts apps/presets-api/src/data/profanity/ko.ts | other: 
listFailedNotifications              prod=4    tests=6    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/notification-service.ts | other: 
logValidationErrors                  prod=3    tests=5    other=12  | prod: apps/presets-api/src/index.ts apps/presets-api/src/utils/env-validation.ts | other: apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/utils/env-validation.test.ts apps/discord-worker/src/utils/env-validation.ts apps/moderation-worker/CLAUDE.md 
MAX_PREVIEW_IMAGE_BYTES              prod=7    tests=4    other=6   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/middleware/body-validation.ts apps/presets-api/src/services/preview-image-service.ts | other: apps/web-app/src/components/preset-edit-form.ts apps/web-app/src/components/preset-submission-form.ts apps/web-app/src/services/preset-submission-service.ts docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
moderateContent                      prod=5    tests=27   other=4   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/moderation-service.ts apps/presets-api/src/types.ts | other: docs/architecture/security-trade-offs.md docs/specifications/community-presets.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md 
MODERATION_VALIDATION_RULES          prod=4    tests=0    other=0   | prod: apps/presets-api/src/services/validation-service.ts | other: 
ModerationQueueEntry                 prod=2    tests=0    other=3   | prod: apps/presets-api/src/services/preset-service.ts | other: apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
moderationRouter                     prod=11   tests=2    other=1   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/index.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md 
ModerationServiceLogger              prod=4    tests=0    other=0   | prod: apps/presets-api/src/services/moderation-service.ts | other: 
ModerationStatus                     prod=1    tests=0    other=0   | prod: apps/presets-api/src/services/validation-service.ts | other: 
normalizeExampleLink                 prod=4    tests=7    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/validation-service.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
notFoundResponse                     prod=21   tests=3    other=1   | prod: apps/presets-api/src/handlers/categories.ts apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/handlers/votes.ts apps/presets-api/src/utils/api-response.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
notifyDiscordBot                     prod=8    tests=2    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/notification-service.ts apps/presets-api/src/services/preset-service.ts | other: docs/historical/20251214-CodeAudit/05-PRESETS-API.md 
notifyModerators                     prod=1    tests=12   other=3   | prod: apps/presets-api/src/services/moderation-service.ts | other: docs/architecture/service-bindings.md docs/operations/POST_MERGE_CHECKLIST.md docs/specifications/community-presets.md 
prepareRevert                        prod=3    tests=5    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/preset-service.ts | other: 
prepareStatusUpdate                  prod=3    tests=4    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/preset-service.ts | other: 
PRESET_VALIDATION_RULES              prod=6    tests=0    other=1   | prod: apps/presets-api/src/services/validation-service.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
PresetImageState                     prod=3    tests=0    other=0   | prod: apps/presets-api/src/services/preview-image-service.ts | other: 
PresetModerationMethod               prod=2    tests=0    other=0   | prod: apps/presets-api/src/types.ts | other: 
PresetModerationResult               prod=5    tests=0    other=0   | prod: apps/presets-api/src/services/moderation-service.ts apps/presets-api/src/types.ts | other: 
PresetNotificationPayload            prod=9    tests=3    other=5   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/notification-service.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/src/index.ts apps/discord-worker/src/types/preset.ts docs/research/discord-alternatives/02c-stoat-infrastructure.md docs/superpowers/plans/2026-08-10-preset-preview-images.md 
PresetRow                            prod=15   tests=5    other=6   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/preset-service.ts apps/presets-api/src/types.ts | other: docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md packages/test-utils/CLAUDE.md 
PresetServiceLogger                  prod=8    tests=0    other=1   | prod: apps/presets-api/src/services/moderation-service.ts apps/presets-api/src/services/preset-service.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
presetsRouter                        prod=16   tests=5    other=3   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/index.ts apps/presets-api/src/middleware/ban-check.ts | other: docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
PresetSubmissionNotification         prod=3    tests=0    other=1   | prod: apps/presets-api/src/services/notification-service.ts | other: apps/discord-worker/src/types/preset.ts 
PREVIEW_IMAGE_CACHE_CONTROL          prod=4    tests=3    other=0   | prod: apps/presets-api/src/services/preview-image-service.ts | other: 
PREVIEW_IMAGE_CONTENT_TYPES          prod=4    tests=0    other=0   | prod: apps/presets-api/src/index.ts apps/presets-api/src/middleware/body-validation.ts | other: 
PREVIEW_IMAGE_PUBLIC_BASE            prod=5    tests=0    other=2   | prod: apps/presets-api/src/services/preset-service.ts apps/presets-api/src/services/preview-image-service.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
PreviewImageNotification             prod=2    tests=0    other=1   | prod: apps/presets-api/src/services/notification-service.ts | other: apps/discord-worker/src/types/preset.ts 
previewImagePublicUrl                prod=2    tests=0    other=0   | prod: apps/presets-api/src/services/preview-image-service.ts | other: 
profanityLists                       prod=3    tests=14   other=4   | prod: apps/presets-api/src/data/profanity/index.ts apps/presets-api/src/services/moderation-service.ts | other: docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/projects/presets-api/moderation.md docs/specifications/community-presets.md 
pruneFailedNotifications             prod=6    tests=0    other=0   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/notification-service.ts | other: 
PublicPreset                         prod=4    tests=0    other=0   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: 
publicRateLimitMiddleware            prod=4    tests=3    other=0   | prod: apps/presets-api/src/index.ts apps/presets-api/src/middleware/rate-limit.ts | other: 
purgePreviewImageCache               prod=2    tests=6    other=0   | prod: apps/presets-api/src/services/preview-image-service.ts | other: 
recordSubmissionEvent                prod=6    tests=5    other=0   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/rate-limit-service.ts | other: 
removeVote                           prod=3    tests=8    other=10  | prod: apps/presets-api/src/handlers/votes.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api.test.ts apps/discord-worker/src/services/preset-api.ts apps/web-app/src/components/v4/preset-detail.ts 
requireAuth                          prod=15   tests=7    other=3   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/handlers/votes.ts apps/presets-api/src/middleware/auth.ts apps/presets-api/src/middleware/ban-check.ts | other: docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
requireModerator                     prod=10   tests=4    other=2   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/middleware/auth.ts | other: docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/superpowers/plans/2026-08-10-preset-preview-images.md 
requireNotBanned                     prod=12   tests=6    other=3   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/handlers/votes.ts apps/presets-api/src/middleware/ban-check.ts | other: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/ban-service.ts docs/projects/presets-api/moderation.md 
requireNotBannedCheck                prod=3    tests=4    other=2   | prod: apps/presets-api/src/middleware/ban-check.ts | other: docs/projects/presets-api/endpoints.md docs/superpowers/plans/2026-08-10-preset-preview-images.md 
requireUserContext                   prod=14   tests=4    other=3   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/handlers/votes.ts apps/presets-api/src/middleware/auth.ts | other: docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
resetCategoryCache                   prod=2    tests=4    other=0   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/category-service.ts | other: 
resolveFailedNotification            prod=4    tests=3    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/notification-service.ts | other: 
resolveJWTUserId                     prod=3    tests=0    other=2   | prod: apps/presets-api/src/middleware/auth.ts | other: apps/web-app/src/services/auth-service.ts docs/architecture/api-contracts.md 
RetentionLogger                      prod=10   tests=0    other=0   | prod: apps/presets-api/src/services/notification-service.ts apps/presets-api/src/services/rate-limit-service.ts apps/presets-api/src/types.ts | other: 
rowToPreset                          prod=14   tests=25   other=6   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/preset-service.ts apps/presets-api/src/services/preview-image-service.ts | other: docs/architecture/api-contracts.md docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
SECONDARY_CATEGORY_MAX               prod=3    tests=2    other=1   | prod: apps/presets-api/src/services/validation-service.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
selectPublicRateLimiter              prod=2    tests=0    other=0   | prod: apps/presets-api/src/middleware/rate-limit.ts | other: 
sniffImageType                       prod=4    tests=8    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/middleware/body-validation.ts apps/presets-api/src/services/preview-image-service.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md 
storeFailedNotification              prod=8    tests=5    other=0   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/notification-service.ts | other: 
storePreviewImage                    prod=3    tests=6    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preview-image-service.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md 
