__setTestEnvironment                 prod=1    tests=8    other=0   | prod: apps/web-app/src/shared/logger.ts | other: 
CaptureResult                        prod=4    tests=0    other=0   | prod: apps/web-app/src/components/camera-preview-modal.ts apps/web-app/src/services/camera-service.ts | other: 
CategorySelection                    prod=6    tests=8    other=2   | prod: apps/web-app/src/components/preset-category-selector.ts apps/web-app/src/components/preset-edit-form.ts apps/web-app/src/components/preset-submission-form.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/plans/2026-08-16-local-presets-5-1.md 
CategoryWithCount                    prod=3    tests=0    other=0   | prod: apps/web-app/src/services/community-preset-service.ts | other: 
ChangelogModal                       prod=6    tests=28   other=2   | prod: apps/web-app/src/components/changelog-modal.ts | other: docs/historical/20260115-v4-uiux-ideas/v4-component-migration-map.md docs/historical/web-app/20251201-Optimize/06-BUNDLE-OPTIMIZATION.md 
ChangelogMode                        prod=3    tests=0    other=0   | prod: apps/web-app/src/components/changelog-modal.ts | other: 
charaIconUrl                         prod=4    tests=2    other=0   | prod: apps/web-app/src/components/chara-import.ts apps/web-app/src/services/chara-resolve-service.ts | other: 
CharaImport                          prod=12   tests=18   other=1   | prod: apps/web-app/src/components/chara-import.ts apps/web-app/src/components/swatch-tool.ts | other: docs/superpowers/plans/2026-08-29-web-analytics.md 
CharaImportCallbacks                 prod=3    tests=0    other=0   | prod: apps/web-app/src/components/chara-import.ts | other: 
CharaImportOptions                   prod=2    tests=0    other=0   | prod: apps/web-app/src/components/chara-import.ts | other: 
CharaItemNames                       prod=5    tests=0    other=0   | prod: apps/web-app/src/services/chara-resolve-service.ts | other: 
CharaResolvedGlasses                 prod=3    tests=0    other=0   | prod: apps/web-app/src/services/chara-resolve-service.ts | other: 
CharaResolvedItem                    prod=4    tests=0    other=0   | prod: apps/web-app/src/components/chara-import.ts apps/web-app/src/services/chara-resolve-service.ts | other: 
CharaResolveResult                   prod=7    tests=7    other=0   | prod: apps/web-app/src/components/chara-import.ts apps/web-app/src/services/chara-resolve-service.ts | other: 
CharaResolveUnavailableError         prod=7    tests=8    other=0   | prod: apps/web-app/src/services/chara-resolve-service.ts | other: 
CharaSlotGridRef                     prod=7    tests=0    other=0   | prod: apps/web-app/src/components/chara-import.ts apps/web-app/src/components/swatch-tool.ts | other: 
clearCharaResolveCache               prod=1    tests=3    other=0   | prod: apps/web-app/src/services/chara-resolve-service.ts | other: 
clearContainer                       prod=125  tests=6    other=16  | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/base-component.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/chara-import.ts apps/web-app/src/components/color-picker-display.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/dye-grid.ts apps/web-app/src/components/dye-selector.ts apps/web-app/src/components/empty-state.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/image-upload-display.ts apps/web-app/src/components/image-zoom-controller.ts apps/web-app/src/components/market-board.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/modal-container.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/toast-container.ts apps/web-app/src/components/v4-layout.ts apps/web-app/src/shared/utils.ts | other: docs/historical/20251207-DeepDive/WEB_APP_ANALYSIS.md docs/historical/20251211-v3UIRehaul/01-ARCHITECTURE.md docs/historical/20251211-v3UIRehaul/03-TOOL-MOCKUPS.md docs/historical/20251214-CodeAudit/02-WEB-APP.md docs/historical/20260115-v4-uiux-ideas/v4-implementation-guide.md 
closeChangelogModal                  prod=1    tests=6    other=0   | prod: apps/web-app/src/components/changelog-modal.ts | other: 
CollapsiblePanel                     prod=86   tests=48   other=16  | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/collapsible-panel.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/market-board.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/services/tool-panel-builders.ts | other: docs/historical/20251211-v3UIRehaul/00-OVERVIEW.md docs/historical/20251211-v3UIRehaul/01-ARCHITECTURE.md docs/historical/20251211-v3UIRehaul/02-COMPONENTS.md docs/historical/20251211-v3UIRehaul/03-TOOL-MOCKUPS.md docs/historical/20251211-v3UIRehaul/05-MIGRATION-CHECKLIST.md 
CollapsiblePanelOptions              prod=3    tests=0    other=2   | prod: apps/web-app/src/components/collapsible-panel.ts | other: docs/historical/20251211-v3UIRehaul/02-COMPONENTS.md docs/historical/web-app/20260531-Mockups/CollapsiblePanel.ts 
Collection                           prod=39   tests=32   other=27  | prod: apps/web-app/src/components/add-to-collection-menu.ts apps/web-app/src/components/collection-manager-modal.ts apps/web-app/src/components/dye-grid.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/services/collection-service.ts | other: apps/presets-api/migrations/0008_add_example_link.sql docs/brainstorming/analytics/PRIVACY_CONSIDERATIONS.md docs/brainstorming/analytics/WEB_APP_METRICS.md docs/brainstorming/discord-bot/command-reference-v4.md docs/historical/20251214-SVGRedesign/SVG-DOCUMENTATION.md 
CollectionExport                     prod=4    tests=0    other=0   | prod: apps/web-app/src/services/collection-service.ts | other: 
CollectionKind                       prod=8    tests=0    other=0   | prod: apps/web-app/src/services/collection-service.ts | other: 
CollectionsData                      prod=3    tests=0    other=1   | prod: apps/web-app/src/services/collection-service.ts | other: docs/specifications/collections.md 
CollectionService                    prod=73   tests=240  other=13  | prod: apps/web-app/src/components/add-to-collection-menu.ts apps/web-app/src/components/advanced-options-panel.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/chara-import.ts apps/web-app/src/components/collection-manager-modal.ts apps/web-app/src/components/dye-grid.ts apps/web-app/src/components/dye-selector.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/v4/dye-palette-drawer.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/services/collection-service.ts apps/web-app/src/services/index.ts apps/web-app/src/services/saved-presets-service.ts | other: docs/historical/20260115-v4-uiux-ideas/new-svg-icons/missing-emoji-icons.ts docs/projects/web-app/components.md docs/projects/web-app/overview.md docs/projects/web-app/tools.md docs/research/monorepo-2.0/8a-gallery-port-spec.md 
ColorPickerDisplay                   prod=4    tests=36   other=5   | prod: apps/web-app/src/components/color-picker-display.ts apps/web-app/src/components/extractor-tool.ts | other: docs/historical/20251211-v3UIRehaul/05-MIGRATION-CHECKLIST.md docs/historical/20260115-v4-uiux-ideas/v4-component-migration-map.md docs/historical/web-app/20251201-Optimize/01-COMPONENT-ARCHITECTURE.md docs/historical/web-app/20251201-Optimize/04-DESIGN-PATTERNS.md docs/historical/web-app/20251201-Optimize/06-BUNDLE-OPTIMIZATION.md 
ColorService                         prod=110  tests=121  other=101 | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/chara-import.ts apps/web-app/src/components/color-picker-display.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/v4/result-card.ts apps/web-app/src/services/harmony-generator.ts apps/web-app/src/services/index.ts apps/web-app/src/services/mixer-blending-engine.ts apps/web-app/src/shared/custom-dye.ts | other: DEPRECATIONS.md apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/lib/services.ts apps/discord-worker/src/handlers/commands/accessibility.test.ts 
communityPresetService               prod=11   tests=0    other=3   | prod: apps/web-app/src/components/v4/preset-detail.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/services/community-preset-service.ts apps/web-app/src/services/hybrid-preset-service.ts apps/web-app/src/services/index.ts | other: docs/historical/20251207-PresetRefinements/WEB_APP_CHANGES.md docs/projects/web-app/components.md docs/specifications/community-presets.md 
CommunityPresetService               prod=13   tests=8    other=1   | prod: apps/web-app/src/services/community-preset-service.ts apps/web-app/src/services/hybrid-preset-service.ts | other: docs/projects/web-app/components.md 
