generateAccessibilityOG              prod=4    tests=13   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/index.ts | other: 
generateAccessibilityOGData          prod=3    tests=7    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts | other: 
generateBandCard                     prod=21   tests=10   other=1   | prod: apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: docs/superpowers/plans/2026-08-16-local-presets-5-1.md 
generateBudgetOG                     prod=4    tests=12   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/index.ts | other: 
generateBudgetOGData                 prod=2    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
generateComparisonOG                 prod=4    tests=14   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/index.ts | other: 
generateComparisonOGData             prod=4    tests=8    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts | other: 
generateDefaultCard                  prod=5    tests=9    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | other: 
generateExtractorOG                  prod=4    tests=10   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/index.ts | other: 
generateExtractorOGData              prod=2    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
generateFallbackOGData               prod=3    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts | other: 
generateGradientOG                   prod=4    tests=8    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/index.ts | other: 
generateGradientOGData               prod=2    tests=6    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
generateHarmonyOG                    prod=4    tests=17   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/index.ts | other: 
generateHarmonyOGData                prod=2    tests=5    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
generateMixerOG                      prod=5    tests=9    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/index.ts apps/og-worker/src/services/svg/mixer.ts | other: 
generateMixerOGData                  prod=2    tests=5    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
generateOGDataForTool                prod=3    tests=52   other=1   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts | other: docs/superpowers/specs/2026-08-16-local-presets-5-1-design.md 
generateOGHTML                       prod=5    tests=13   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts | other: 
generatePresetsOG                    prod=4    tests=9    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/index.ts apps/og-worker/src/services/svg/presets.ts | other: 
generatePresetsOGData                prod=2    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
generateRootOGData                   prod=3    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts | other: 
generateSwatchOG                     prod=4    tests=8    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/index.ts apps/og-worker/src/services/svg/swatch.ts | other: 
generateSwatchOGData                 prod=2    tests=7    other=0   | prod: apps/og-worker/src/og-data-generator.ts | other: 
getCrawlerName                       prod=3    tests=3    other=0   | prod: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/index.ts | other: 
getDyeByItemId                       prod=18   tests=6    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts | other: 
getFontBuffers                       prod=4    tests=0    other=5   | prod: apps/og-worker/src/services/fonts.ts apps/og-worker/src/services/renderer.ts | other: apps/discord-worker/src/handlers/commands/index.test.ts apps/discord-worker/src/services/fonts.test.ts apps/discord-worker/src/services/fonts.ts apps/discord-worker/src/services/svg/renderer.test.ts apps/discord-worker/src/services/svg/renderer.ts 
getLocalizedClanOrRace               prod=3    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/translator.ts | other: 
getLocalizedDyeName                  prod=30   tests=0    other=38  | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts apps/og-worker/src/services/translator.ts | other: apps/discord-worker/src/handlers/commands/accessibility.test.ts apps/discord-worker/src/handlers/commands/budget.test.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.test.ts apps/discord-worker/src/handlers/commands/comparison.ts 
getLocalizedHarmonyName              prod=5    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/translator.ts | other: 
getLocalizedVisionName               prod=5    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/translator.ts | other: 
getOgDeck                            prod=6    tests=2    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/og-strings.ts | other: 
getToolTag                           prod=31   tests=8    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/og-strings.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: 
GradientOGOptions                    prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/gradient.ts | other: 
GradientParams                       prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
GROUND                               prod=11   tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/renderer.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/tokens.ts | other: 
HarmonyOGOptions                     prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/harmony.ts | other: 
HarmonyParams                        prod=4    tests=0    other=1   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: docs/brainstorming/SHARE_BUTTON_OPENGRAPH.md 
harmonyToKey                         prod=2    tests=0    other=1   | prod: apps/og-worker/src/services/translator.ts | other: docs/versions.md 
HarmonyType                          prod=11   tests=0    other=16  | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-params.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/types.ts | other: apps/discord-worker/src/handlers/commands/harmony.ts apps/web-app/src/components/__tests__/harmony-tool.test.ts apps/web-app/src/components/v4/v4-color-wheel.ts apps/web-app/src/services/share-service.ts docs/historical/20251207-DeepDive/WEB_APP_ANALYSIS.md 
HEADER_H                             prod=5    tests=4    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: 
isAlgorithm                          prod=10   tests=2    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-params.ts | other: 
isHarmonyType                        prod=5    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
isKnownClanOrRace                    prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/translator.ts | other: 
isSheet                              prod=3    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
isVisionType                         prod=5    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
MARK_STRIPES                         prod=10   tests=3    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/tokens.ts | other: 
MatchingAlgorithm                    prod=30   tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/swatch.ts apps/og-worker/src/types.ts | other: 
MixerOGOptions                       prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/mixer.ts | other: 
MixerParams                          prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
NOT_FOUND_LABEL_MAX                  prod=4    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band-shared.ts | other: 
notFoundBand                         prod=21   tests=9    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: 
OG_DECK                              prod=3    tests=7    other=1   | prod: apps/og-worker/src/services/og-embed.ts apps/og-worker/src/services/og-strings.ts | other: docs/projects/og-worker/overview.md 
OG_DECK_LINE                         prod=2    tests=5    other=0   | prod: apps/og-worker/src/services/og-strings.ts | other: 
OG_EMBED                             prod=3    tests=8    other=1   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/og-embed.ts | other: docs/projects/og-worker/overview.md 
OG_MAX_COMPARISON_DYES               prod=10   tests=1    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
OG_MAX_GRADIENT_STEPS                prod=6    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
OG_MAX_MIXER_RATIO                   prod=8    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
OG_MAX_SWATCH_LIMIT                  prod=6    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
OG_MIN_GRADIENT_STEPS                prod=6    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
OG_MIN_MIXER_RATIO                   prod=8    tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
OG_ROLE                              prod=2    tests=8    other=1   | prod: apps/og-worker/src/services/og-strings.ts | other: docs/projects/og-worker/overview.md 
OGData                               prod=17   tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
OgDeckStrings                        prod=3    tests=0    other=0   | prod: apps/og-worker/src/services/og-strings.ts | other: 
ogMark                               prod=4    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: 
ogTranslator                         prod=9    tests=2    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/translator.ts | other: 
