ALLOWED_ENVIRONMENTS                 prod=3    tests=0    other=0   | prod: apps/oauth/src/utils/env-validation.ts | other: 
findOrCreateUser                     prod=5    tests=30   other=1   | prod: apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/xivauth.ts apps/oauth/src/services/user-service.ts | other: docs/historical/20251214-CodeAudit/04-OAUTH-WORKER.md 
findUserByDiscordId                  prod=1    tests=4    other=0   | prod: apps/oauth/src/services/user-service.ts | other: 
findUserById                         prod=1    tests=5    other=0   | prod: apps/oauth/src/services/user-service.ts | other: 
findUserByXIVAuthId                  prod=1    tests=4    other=0   | prod: apps/oauth/src/services/user-service.ts | other: 
getAllowedRedirectOrigins            prod=7    tests=6    other=2   | prod: apps/oauth/src/constants/oauth.ts apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/index.ts | other: docs/operations/DOMAIN_DEPRECATION.md docs/superpowers/plans/2026-08-09-beta-web-app-deployment.md 
getAvatarUrl                         prod=7    tests=9    other=1   | prod: apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/token.ts apps/oauth/src/services/jwt-service.ts apps/oauth/src/services/user-service.ts | other: apps/web-app/src/services/auth-service.ts 
getClientIp                          prod=4    tests=6    other=17  | prod: apps/oauth/src/index.ts apps/oauth/src/services/rate-limit.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/middleware/rate-limit.ts apps/api-worker/src/universalis/router.ts apps/presets-api/CLAUDE.md 
isStateSigned                        prod=1    tests=0    other=0   | prod: apps/oauth/src/utils/state-signing.ts | other: 
isTokenRevoked                       prod=3    tests=9    other=6   | prod: apps/oauth/src/services/jwt-service.ts | other: apps/presets-api/src/middleware/auth.ts packages/auth/CLAUDE.md packages/auth/README.md packages/auth/src/index.ts packages/auth/src/revocation.test.ts 
jsonDepthLimit                       prod=3    tests=3    other=6   | prod: apps/oauth/src/index.ts apps/oauth/src/middleware/body-validation.ts | other: apps/presets-api/CLAUDE.md apps/presets-api/src/index.ts apps/presets-api/src/middleware/body-validation.ts apps/presets-api/tests/middleware/body-validation.test.ts docs/architecture/overview.md 
logValidationErrors                  prod=3    tests=4    other=12  | prod: apps/oauth/src/index.ts apps/oauth/src/utils/env-validation.ts | other: apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/utils/env-validation.test.ts apps/discord-worker/src/utils/env-validation.ts apps/moderation-worker/CLAUDE.md 
MAX_RETURN_PATH_LENGTH               prod=5    tests=4    other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts | other: 
MAX_STATE_LENGTH                     prod=5    tests=4    other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts | other: 
OAuthFlowConfig                      prod=8    tests=0    other=0   | prod: apps/oauth/src/handlers/authorize.ts apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/handlers/xivauth.ts | other: 
oauthRateLimitTiers                  prod=3    tests=0    other=0   | prod: apps/oauth/src/index.ts apps/oauth/src/services/rate-limit.ts | other: 
PkceBindingResult                    prod=2    tests=0    other=0   | prod: apps/oauth/src/utils/pkce-binding.ts | other: 
RateLimitBackends                    prod=3    tests=0    other=0   | prod: apps/oauth/src/services/rate-limit.ts | other: 
RateLimitResult                      prod=2    tests=0    other=28  | prod: apps/oauth/src/services/rate-limit.ts | other: apps/api-worker/src/universalis/services/rate-limiter.ts apps/discord-worker/src/services/rate-limiter.test.ts apps/discord-worker/src/services/rate-limiter.ts apps/moderation-worker/src/middleware/rate-limit.ts apps/presets-api/src/services/rate-limit-service.ts 
REDIRECT_CALLBACK_PATH               prod=4    tests=2    other=0   | prod: apps/oauth/src/constants/oauth.ts apps/oauth/src/utils/oauth-validation.ts | other: 
REQUEST_TIMEOUT_MS                   prod=3    tests=0    other=2   | prod: apps/oauth/src/constants/oauth.ts apps/oauth/src/handlers/xivauth.ts | other: apps/web-app/src/services/chara-resolve-service.ts docs/superpowers/plans/2026-08-29-web-analytics.md 
resetRateLimiter                     prod=1    tests=16   other=0   | prod: apps/oauth/src/services/rate-limit.ts | other: 
revokeToken                          prod=4    tests=10   other=6   | prod: apps/oauth/src/handlers/token.ts apps/oauth/src/services/jwt-service.ts | other: docs/versions.md packages/auth/CLAUDE.md packages/auth/README.md packages/auth/src/index.ts packages/auth/src/revocation.test.ts 
signJwtData                          prod=5    tests=6    other=0   | prod: apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/state-signing.ts | other: 
signPayload                          prod=2    tests=0    other=0   | prod: apps/oauth/src/services/jwt-service.ts | other: 
signState                            prod=3    tests=4    other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/state-signing.ts | other: 
