AllowedMentions                      prod=8    tests=0    other=1   | prod: apps/moderation-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/utils/discord-api.ts 
getPreset                            prod=1    tests=7    other=14  | prod: apps/moderation-worker/src/services/preset-api.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/preset-api.test.ts apps/discord-worker/src/services/preset-api.ts 
getPresetAuthorName                  prod=2    tests=7    other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/services/ban-service.ts | other: 
getPresets                           prod=2    tests=27   other=18  | prod: apps/moderation-worker/src/services/preset-api.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api-v2.test.ts apps/discord-worker/src/services/preset-api.test.ts apps/discord-worker/src/services/preset-api.ts 
getRateLimitInfo                     prod=1    tests=8    other=0   | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: 
getUserForBanConfirmation            prod=2    tests=16   other=0   | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/ban-service.ts | other: 
getUserLanguagePreference            prod=2    tests=11   other=2   | prod: apps/moderation-worker/src/services/i18n.ts | other: apps/discord-worker/src/services/i18n.ts packages/bot-logic/src/localization.ts 
handleAutocomplete                   prod=2    tests=14   other=3   | prod: apps/moderation-worker/src/index.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/src/index.ts docs/historical/20251207-DiscordBotMigration/MIGRATION_PHASES.md 
handleBanCancelButton                prod=4    tests=8    other=0   | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/index.ts | other: 
handleBanConfirmButton               prod=4    tests=14   other=0   | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/index.ts | other: 
handleBanReasonModal                 prod=4    tests=23   other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/index.ts apps/moderation-worker/src/index.ts | other: 
handleButtonInteraction              prod=3    tests=7    other=6   | prod: apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/index.ts | other: apps/discord-worker/src/handlers/buttons/index.test.ts apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md 
handleComponent                      prod=2    tests=10   other=3   | prod: apps/moderation-worker/src/index.ts | other: apps/discord-worker/src/index.ts docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
handleModal                          prod=2    tests=3    other=2   | prod: apps/moderation-worker/src/index.ts | other: apps/discord-worker/src/index.ts docs/projects/discord-worker/interactions.md 
handlePresetApproveButton            prod=4    tests=14   other=0   | prod: apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts | other: 
handlePresetCommand                  prod=4    tests=51   other=6   | prod: apps/moderation-worker/src/handlers/commands/index.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/index.ts | other: apps/discord-worker/src/handlers/commands/index.test.ts apps/discord-worker/src/handlers/commands/index.ts apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/index.test.ts 
handlePresetRejectButton             prod=4    tests=5    other=0   | prod: apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts | other: 
handlePresetRejectionModal           prod=4    tests=18   other=0   | prod: apps/moderation-worker/src/handlers/modals/index.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts | other: 
handlePresetRevertButton             prod=4    tests=5    other=0   | prod: apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts | other: 
handlePresetRevertModal              prod=4    tests=10   other=0   | prod: apps/moderation-worker/src/handlers/modals/index.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts | other: 
hexToDiscordColor                    prod=1    tests=11   other=5   | prod: apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/utils/response.test.ts apps/discord-worker/src/utils/response.ts 
hideUserPresets                      prod=2    tests=6    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts | other: 
incrementRateLimit                   prod=4    tests=25   other=0   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/middleware/rate-limit.ts | other: 
infoEmbed                            prod=1    tests=5    other=3   | prod: apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/utils/response.test.ts apps/discord-worker/src/utils/response.ts 
InteractionResponseBody              prod=1    tests=0    other=13  | prod: apps/moderation-worker/src/types/env.ts | other: apps/discord-worker/src/handlers/buttons/copy.test.ts apps/discord-worker/src/handlers/buttons/index.test.ts apps/discord-worker/src/handlers/commands/about.test.ts apps/discord-worker/src/handlers/commands/accessibility.test.ts apps/discord-worker/src/handlers/commands/budget.test.ts 
InteractionResponseData              prod=4    tests=10   other=4   | prod: apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/utils/response.test.ts apps/discord-worker/src/utils/response.ts docs/historical/20251214-CodeAudit/03-DISCORD-WORKER.md docs/historical/20251214-CodeAudit/07-REMEDIATION-ROADMAP.md 
InteractionResponseType              prod=22   tests=36   other=11  | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts apps/moderation-worker/src/types/env.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/buttons/copy.test.ts apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/handlers/buttons/preview-image.test.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/index.test.ts 
InteractionType                      prod=8    tests=0    other=7   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/types/env.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/types/env.ts docs/historical/20251207-DiscordBotMigration/ARCHITECTURE.md 
isApiEnabled                         prod=1    tests=7    other=4   | prod: apps/moderation-worker/src/services/preset-api.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api.test.ts apps/discord-worker/src/services/preset-api.ts 
isBanCancelButton                    prod=4    tests=9    other=0   | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/index.ts | other: 
isBanConfirmButton                   prod=4    tests=9    other=0   | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/index.ts | other: 
isBanReasonModal                     prod=4    tests=9    other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/index.ts apps/moderation-worker/src/index.ts | other: 
isModerator                          prod=13   tests=109  other=19  | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts apps/moderation-worker/src/services/preset-api.ts | other: apps/discord-worker/src/handlers/buttons/preview-image.test.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/services/preset-api.test.ts apps/discord-worker/src/services/preset-api.ts 
isPresetAuthorBanned                 prod=3    tests=11   other=0   | prod: apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/ban-service.ts | other: 
isPresetModerationButton             prod=2    tests=9    other=0   | prod: apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts | other: 
isPresetRejectionModal               prod=4    tests=8    other=0   | prod: apps/moderation-worker/src/handlers/modals/index.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts | other: 
isPresetRevertModal                  prod=4    tests=8    other=0   | prod: apps/moderation-worker/src/handlers/modals/index.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts | other: 
isUserBannedByDiscordId              prod=3    tests=6    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts | other: 
isValidLocale                        prod=2    tests=18   other=7   | prod: apps/moderation-worker/src/services/i18n.ts | other: apps/discord-worker/src/services/bot-i18n.test.ts apps/discord-worker/src/services/bot-i18n.ts apps/discord-worker/src/services/i18n.test.ts apps/discord-worker/src/services/i18n.ts apps/discord-worker/src/services/preferences.ts 
isValidUuid                          prod=10   tests=0    other=1   | prod: apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/types/preset.ts 
LocaleCode                           prod=14   tests=2    other=96  | prod: apps/moderation-worker/src/services/bot-i18n.ts apps/moderation-worker/src/services/i18n.ts | other: DEPRECATIONS.md apps/api-worker/src/lib/dye-serializer.ts apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts 
LocaleInfo                           prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/services/i18n.ts | other: 
logValidationErrors                  prod=4    tests=6    other=10  | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/env-validation.ts | other: apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/utils/env-validation.test.ts apps/discord-worker/src/utils/env-validation.ts apps/oauth/src/__tests__/env-validation.test.ts 
