AppError                             prod=9    tests=47   other=28  | prod: packages/types/src/error/app-error.ts packages/types/src/error/index.ts packages/types/src/index.ts | other: apps/web-app/src/services/__tests__/storage-service.test.ts apps/web-app/src/services/theme-service.ts apps/web-app/src/shared/__tests__/error-handler.test.ts apps/web-app/src/shared/__tests__/types.test.ts apps/web-app/src/shared/error-handler.ts 
PresetEditSuccessResponse            prod=4    tests=0    other=2   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: apps/discord-worker/src/handlers/commands/preset.ts apps/presets-api/src/handlers/presets.ts 
PresetFilters                        prod=3    tests=0    other=14  | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/request.ts | other: apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/handlers/presets.ts 
PresetListResponse                   prod=3    tests=0    other=11  | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/services/preset-service.ts 
PresetPalette                        prod=5    tests=0    other=5   | prod: packages/types/src/index.ts packages/types/src/preset/community.ts packages/types/src/preset/core.ts packages/types/src/preset/index.ts | other: apps/presets-api/scripts/migrate-presets.ts apps/web-app/src/services/hybrid-preset-service.ts docs/projects/core/overview.md docs/specifications/preset-palettes.md packages/core/src/services/PresetService.ts 
PresetPreviousValues                 prod=4    tests=0    other=6   | prod: packages/types/src/index.ts packages/types/src/preset/community.ts packages/types/src/preset/index.ts | other: apps/moderation-worker/src/types/preset.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts apps/presets-api/src/types.ts docs/historical/20251207-PresetRefinements/API_CHANGES.md 
PresetSortOption                     prod=4    tests=0    other=2   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/request.ts | other: apps/web-app/src/services/hybrid-preset-service.ts apps/web-app/src/shared/tool-config-types.ts 
PresetStatus                         prod=7    tests=0    other=11  | prod: packages/types/src/index.ts packages/types/src/preset/community.ts packages/types/src/preset/core.ts packages/types/src/preset/index.ts packages/types/src/preset/request.ts | other: apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/validation-service.ts apps/presets-api/src/types.ts 
PresetSubmission                     prod=3    tests=0    other=18  | prod: packages/types/src/index.ts packages/types/src/preset/community.ts packages/types/src/preset/index.ts | other: apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts 
PresetSubmitCreatedResponse          prod=4    tests=0    other=1   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: apps/discord-worker/src/handlers/commands/preset.ts 
PresetSubmitDuplicateResponse        prod=4    tests=0    other=0   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: 
PresetSubmitErrorResponse            prod=4    tests=0    other=0   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: 
PresetSubmitResponse                 prod=3    tests=0    other=5   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/types.ts docs/specifications/community-presets.md 
PriceData                            prod=3    tests=0    other=28  | prod: packages/types/src/api/index.ts packages/types/src/api/price.ts packages/types/src/index.ts | other: apps/discord-worker/src/types/budget.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts 
PrimaryCharacter                     prod=6    tests=0    other=1   | prod: packages/types/src/auth/index.ts packages/types/src/auth/jwt.ts packages/types/src/auth/response.ts packages/types/src/index.ts | other: apps/web-app/src/services/auth-service.ts 
Race                                 prod=5    tests=0    other=55  | prod: packages/types/src/character/index.ts packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/README.md apps/discord-worker/src/services/analytics.ts apps/discord-worker/src/types/preferences.test.ts apps/discord-worker/src/types/preferences.ts 
RACE_SUBRACES                        prod=2    tests=0    other=6   | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: apps/discord-worker/src/types/preferences.test.ts apps/discord-worker/src/types/preferences.ts apps/web-app/src/components/__tests__/swatch-tool.test.ts apps/web-app/src/components/__tests__/v4/config-sidebar.test.ts apps/web-app/src/components/swatch-tool.ts 
RaceKey                              prod=3    tests=0    other=5   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/og-worker/src/services/translator.ts packages/core/src/services/LocalizationService.ts packages/core/src/services/__tests__/LocalizationService.explicit-locale.test.ts packages/core/src/services/localization/TranslationProvider.ts packages/core/src/services/localization/__tests__/TranslationProvider.test.ts 
RaceSpecificColorCategory            prod=2    tests=0    other=1   | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: packages/core/src/services/CharacterColorService.ts 
RateLimitResult                      prod=3    tests=0    other=25  | prod: packages/types/src/api/index.ts packages/types/src/api/price.ts packages/types/src/index.ts | other: apps/api-worker/src/universalis/services/rate-limiter.ts apps/discord-worker/src/services/rate-limiter.test.ts apps/discord-worker/src/services/rate-limiter.ts apps/moderation-worker/src/middleware/rate-limit.ts apps/oauth/src/services/rate-limit.ts 
RefreshErrorResponse                 prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
RefreshResponse                      prod=5    tests=0    other=2   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts packages/types/src/index.ts | other: apps/oauth/src/types.ts docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md 
RefreshSuccessResponse               prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
RGB                                  prod=20   tests=3    other=260 | prod: packages/types/src/character/index.ts packages/types/src/color/branded.ts packages/types/src/color/colorblind.ts packages/types/src/color/index.ts packages/types/src/color/match-quality.ts packages/types/src/color/rgb.ts packages/types/src/dye/dye.ts packages/types/src/error/codes.ts packages/types/src/index.ts | other: DEPRECATIONS.md apps/api-worker/README.md apps/api-worker/docs/index.md apps/api-worker/docs/reference/matching.md apps/discord-worker/PRIVACY_POLICY.md 
Saturation                           prod=12   tests=3    other=50  | prod: packages/types/src/color/branded.ts packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: apps/discord-worker/src/commands/schemas.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/locales/en.json apps/web-app/src/locales/fr.json docs/brainstorming/discord-bot/command-reference-v4.md 
SharedColorCategory                  prod=2    tests=0    other=1   | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: packages/core/src/services/CharacterColorService.ts 
SheetKey                             prod=3    tests=0    other=7   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/og-data-generator.ts docs/versions.md packages/core/src/services/LocalizationService.ts packages/core/src/services/__tests__/LocalizationService.explicit-locale.test.ts 
SubRace                              prod=6    tests=0    other=19  | prod: packages/types/src/character/index.ts packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/discord-worker/src/types/preferences.ts apps/web-app/src/components/__tests__/chara-import-i18n.test.ts apps/web-app/src/components/chara-import.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/v4/config-sidebar.ts 
SUBRACE_TO_RACE                      prod=2    tests=0    other=2   | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: apps/discord-worker/src/types/preferences.test.ts packages/core/src/services/__tests__/CharacterColorService.test.ts 
ToolKey                              prod=3    tests=0    other=6   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/og-worker/CLAUDE.md docs/versions.md packages/core/src/services/LocalizationService.ts packages/core/src/services/__tests__/LocalizationService.explicit-locale.test.ts packages/core/src/services/localization/TranslationProvider.ts 
TranslationKey                       prod=3    tests=0    other=5   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: docs/historical/web-app/20251127-Localization/IMPLEMENTATION-PLAN.md docs/projects/core/types.md packages/core/src/services/LocalizationService.ts packages/core/src/services/localization/TranslationProvider.ts packages/core/src/services/localization/__tests__/TranslationProvider.test.ts 
UserInfoData                         prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
UserInfoErrorResponse                prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
UserInfoResponse                     prod=7    tests=0    other=2   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts packages/types/src/index.ts | other: apps/oauth/src/handlers/token.ts apps/oauth/src/types.ts 
UserInfoSuccessResponse              prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
VisionType                           prod=6    tests=0    other=33  | prod: packages/types/src/color/colorblind.ts packages/types/src/color/index.ts packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts apps/og-worker/CLAUDE.md apps/og-worker/src/index.ts apps/og-worker/src/og-params.ts apps/og-worker/src/services/svg/accessibility.ts 
VoteErrorResponse                    prod=4    tests=0    other=0   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: 
