addPresetFavorite                    prod=3    tests=23   other=0   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-favorites.ts | other: 
DyePriceData                         prod=19   tests=9    other=1   | prod: apps/discord-worker/src/services/budget/price-cache.ts apps/discord-worker/src/services/budget/universalis-client.ts apps/discord-worker/src/types/budget.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
editMessage                          prod=3    tests=14   other=4   | prod: apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/utils/discord-api.ts | other: apps/moderation-worker/src/handlers/buttons/preset-moderation.test.ts apps/moderation-worker/src/handlers/modals/preset-rejection.test.ts apps/moderation-worker/src/utils/discord-api.test.ts apps/moderation-worker/src/utils/discord-api.ts 
editOriginalResponse                 prod=3    tests=32   other=9   | prod: apps/discord-worker/src/utils/discord-api.ts | other: apps/moderation-worker/src/handlers/commands/preset.test.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/utils/discord-api.test.ts apps/moderation-worker/src/utils/discord-api.ts docs/brainstorming/discord-bot/command-reference-v4.md 
editPreset                           prod=2    tests=7    other=8   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api.ts | other: apps/web-app/src/components/__tests__/preset-edit-form.test.ts apps/web-app/src/components/preset-edit-form.ts apps/web-app/src/services/__tests__/preset-submission-service.test.ts apps/web-app/src/services/preset-submission-service.ts docs/historical/20251207-PresetRefinements/DISCORD_CHANGES.md 
Env                                  prod=163  tests=80   other=139 | prod: apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/about.ts apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/manual.ts apps/discord-worker/src/handlers/commands/mixer-v4.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/preset-notifications.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/analytics.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/universalis-client.ts apps/discord-worker/src/services/command-trace.ts apps/discord-worker/src/services/image-client.ts apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/services/rate-limiter.ts apps/discord-worker/src/test-utils.ts apps/discord-worker/src/types/env.ts apps/discord-worker/src/utils/env-validation.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/response.ts 
EnvValidationResult                  prod=2    tests=0    other=3   | prod: apps/discord-worker/src/utils/env-validation.ts | other: apps/moderation-worker/src/utils/env-validation.ts apps/oauth/src/utils/env-validation.ts apps/presets-api/src/utils/env-validation.ts 
ephemeralResponse                    prod=61   tests=6    other=14  | prod: apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/rate-limiter.ts apps/discord-worker/src/utils/response.ts | other: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/ban-reason.ts 
errorEmbed                           prod=109  tests=4    other=10  | prod: apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/mixer-v4.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/utils/response.ts | other: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/utils/response.test.ts apps/moderation-worker/src/utils/response.ts 
ExtractedImage                       prod=2    tests=0    other=1   | prod: apps/discord-worker/src/services/image-client.ts | other: docs/operations/plans/2026-08-09-image-worker-split.md 
extractImagePixels                   prod=3    tests=7    other=1   | prod: apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/services/image-client.ts | other: docs/operations/plans/2026-08-09-image-worker-split.md 
